date,edit_count,unique_editors,avg_size_change,total_size_change,topic
2008-06-03,2,1,-4.5,-9.0,2022_FIFA_World_Cup
2009-01-19,1,1,-80.0,-80.0,2022_FIFA_World_Cup
2009-09-14,1,1,0.0,0.0,2022_FIFA_World_Cup
2010-12-02,115,69,-109.73913043478261,-12620.0,2022_FIFA_World_Cup
2010-12-03,64,28,-31.78125,-2034.0,2022_FIFA_World_Cup
2010-12-04,51,28,-69.3921568627451,-3539.0,2022_FIFA_World_Cup
2010-12-05,36,27,36.19444444444444,1303.0,2022_FIFA_World_Cup
2010-12-06,25,14,15.88,397.0,2022_FIFA_World_Cup
2010-12-07,20,12,-27.5,-550.0,2022_FIFA_World_Cup
2010-12-08,11,7,2.272727272727273,25.0,2022_FIFA_World_Cup
2010-12-09,12,8,5.583333333333333,67.0,2022_FIFA_World_Cup
2010-12-10,1,1,-42.0,-42.0,2022_FIFA_World_Cup
2010-12-11,1,1,-452.0,-452.0,2022_FIFA_World_Cup
2010-12-12,8,6,-2.5,-20.0,2022_FIFA_World_Cup
2010-12-13,6,5,-77.66666666666667,-466.0,2022_FIFA_World_Cup
2010-12-14,6,4,-33.5,-201.0,2022_FIFA_World_Cup
2010-12-15,7,6,0.14285714285714285,1.0,2022_FIFA_World_Cup
2010-12-16,3,1,-368.0,-1104.0,2022_FIFA_World_Cup
2010-12-17,4,3,-103.0,-412.0,2022_FIFA_World_Cup
2010-12-18,6,6,-12.166666666666666,-73.0,2022_FIFA_World_Cup
2010-12-19,9,6,-58.77777777777778,-529.0,2022_FIFA_World_Cup
2010-12-20,6,3,67.16666666666667,403.0,2022_FIFA_World_Cup
2010-12-22,3,3,-37.666666666666664,-113.0,2022_FIFA_World_Cup
2010-12-23,6,4,24.5,147.0,2022_FIFA_World_Cup
2010-12-24,1,1,-27.0,-27.0,2022_FIFA_World_Cup
2010-12-25,4,4,1.0,4.0,2022_FIFA_World_Cup
2010-12-26,1,1,-69.0,-69.0,2022_FIFA_World_Cup
2010-12-27,2,2,-1031.5,-2063.0,2022_FIFA_World_Cup
2010-12-29,5,3,418.4,2092.0,2022_FIFA_World_Cup
2010-12-30,4,3,10.25,41.0,2022_FIFA_World_Cup
2010-12-31,3,3,-0.3333333333333333,-1.0,2022_FIFA_World_Cup
2011-01-02,1,1,-23.0,-23.0,2022_FIFA_World_Cup
2011-01-04,7,3,-5.857142857142857,-41.0,2022_FIFA_World_Cup
2011-01-07,16,7,-57.9375,-927.0,2022_FIFA_World_Cup
2011-01-08,8,4,-121.75,-974.0,2022_FIFA_World_Cup
2011-01-09,5,3,-71.0,-355.0,2022_FIFA_World_Cup
2011-01-10,1,1,-132.0,-132.0,2022_FIFA_World_Cup
2011-01-11,2,2,66.0,132.0,2022_FIFA_World_Cup
2011-01-12,3,3,63.333333333333336,190.0,2022_FIFA_World_Cup
2011-01-13,2,2,-6.5,-13.0,2022_FIFA_World_Cup
2011-01-14,4,3,29.75,119.0,2022_FIFA_World_Cup
2011-01-15,4,4,317.75,1271.0,2022_FIFA_World_Cup
2011-01-17,8,5,-162.375,-1299.0,2022_FIFA_World_Cup
2011-01-18,4,4,28.25,113.0,2022_FIFA_World_Cup
2011-01-19,4,1,-10.75,-43.0,2022_FIFA_World_Cup
2011-01-22,2,2,-79.5,-159.0,2022_FIFA_World_Cup
2011-01-23,2,2,-18.0,-36.0,2022_FIFA_World_Cup
2011-01-31,2,1,4.0,8.0,2022_FIFA_World_Cup
2011-02-02,1,1,1.0,1.0,2022_FIFA_World_Cup
2011-02-03,1,1,-10.0,-10.0,2022_FIFA_World_Cup
2011-02-05,4,2,2.25,9.0,2022_FIFA_World_Cup
2011-02-06,2,2,-10.0,-20.0,2022_FIFA_World_Cup
2011-02-08,1,1,4.0,4.0,2022_FIFA_World_Cup
2011-02-09,1,1,8.0,8.0,2022_FIFA_World_Cup
2011-02-10,1,1,0.0,0.0,2022_FIFA_World_Cup
2011-02-15,5,2,17.2,86.0,2022_FIFA_World_Cup
2011-02-19,2,1,-4.0,-8.0,2022_FIFA_World_Cup
2011-02-26,7,5,1.0,7.0,2022_FIFA_World_Cup
2011-03-07,2,1,-34.0,-68.0,2022_FIFA_World_Cup
2011-03-13,2,2,12.0,24.0,2022_FIFA_World_Cup
2011-03-17,1,1,-18.0,-18.0,2022_FIFA_World_Cup
2011-03-24,2,2,13.0,26.0,2022_FIFA_World_Cup
2011-03-27,4,3,-0.75,-3.0,2022_FIFA_World_Cup
2011-03-31,1,1,-86.0,-86.0,2022_FIFA_World_Cup
2011-04-01,2,2,4.0,8.0,2022_FIFA_World_Cup
2011-04-02,2,2,-137.5,-275.0,2022_FIFA_World_Cup
2011-04-03,1,1,-327.0,-327.0,2022_FIFA_World_Cup
2011-04-05,3,2,-26.666666666666668,-80.0,2022_FIFA_World_Cup
2011-04-06,2,2,207.5,415.0,2022_FIFA_World_Cup
2011-04-07,6,3,-1.3333333333333333,-8.0,2022_FIFA_World_Cup
2011-04-09,1,1,-407.0,-407.0,2022_FIFA_World_Cup
2011-04-10,3,2,135.66666666666666,407.0,2022_FIFA_World_Cup
2011-04-11,5,3,-213.6,-1068.0,2022_FIFA_World_Cup
2011-04-14,1,1,-4.0,-4.0,2022_FIFA_World_Cup
2011-04-27,1,1,-2.0,-2.0,2022_FIFA_World_Cup
2011-05-06,2,2,-98.0,-196.0,2022_FIFA_World_Cup
2011-05-11,2,2,0.0,0.0,2022_FIFA_World_Cup
2011-05-12,4,3,31.5,126.0,2022_FIFA_World_Cup
2011-05-13,2,2,-119.0,-238.0,2022_FIFA_World_Cup
2011-05-14,1,1,-425.0,-425.0,2022_FIFA_World_Cup
2011-05-20,5,5,81.4,407.0,2022_FIFA_World_Cup
2011-05-24,1,1,1307.0,1307.0,2022_FIFA_World_Cup
2011-05-26,6,4,-252.83333333333334,-1517.0,2022_FIFA_World_Cup
2011-05-28,12,6,-13.583333333333334,-163.0,2022_FIFA_World_Cup
2011-05-30,9,3,-134.88888888888889,-1214.0,2022_FIFA_World_Cup
2011-05-31,1,1,-208.0,-208.0,2022_FIFA_World_Cup
2011-06-01,2,2,81.0,162.0,2022_FIFA_World_Cup
2011-06-05,1,1,-312.0,-312.0,2022_FIFA_World_Cup
2011-06-08,3,1,-26.0,-78.0,2022_FIFA_World_Cup
2011-06-10,3,3,-18.0,-54.0,2022_FIFA_World_Cup
2011-06-12,2,2,-49.0,-98.0,2022_FIFA_World_Cup
2011-06-15,4,2,36.75,147.0,2022_FIFA_World_Cup
2011-06-16,1,1,-2511.0,-2511.0,2022_FIFA_World_Cup
2011-06-21,3,2,104.0,312.0,2022_FIFA_World_Cup
2011-06-22,6,2,258.8333333333333,1553.0,2022_FIFA_World_Cup
2011-06-23,4,2,11.0,44.0,2022_FIFA_World_Cup
2011-06-24,1,1,1934.0,1934.0,2022_FIFA_World_Cup
2011-06-26,3,3,-650.3333333333334,-1951.0,2022_FIFA_World_Cup
2011-06-27,2,2,-5.0,-10.0,2022_FIFA_World_Cup
2011-06-29,4,3,-1.5,-6.0,2022_FIFA_World_Cup
2011-07-01,1,1,1.0,1.0,2022_FIFA_World_Cup
