date,edit_count,unique_editors,avg_size_change,total_size_change,topic
2001-02-06,1,1,-41.0,-41.0,Academy_Awards
2001-02-13,1,1,-31.0,-31.0,Academy_Awards
2001-02-21,1,1,-13.0,-13.0,Academy_Awards
2001-03-06,2,1,-401.5,-803.0,Academy_Awards
2001-03-08,2,1,50.5,101.0,Academy_Awards
2001-03-25,1,1,-58.0,-58.0,Academy_Awards
2001-04-24,1,1,1.0,1.0,Academy_Awards
2001-10-30,1,1,-384.0,-384.0,Academy_Awards
2002-02-25,1,1,-88.0,-88.0,Academy_Awards
2002-02-27,1,1,-139.0,-139.0,Academy_Awards
2002-02-28,1,1,-566.0,-566.0,Academy_Awards
2002-03-07,1,1,7.0,7.0,Academy_Awards
2002-03-20,6,2,-109.66666666666667,-658.0,Academy_Awards
2002-03-21,1,1,-3.0,-3.0,Academy_Awards
2002-03-22,1,1,-39.0,-39.0,Academy_Awards
2002-03-23,3,2,-51.0,-153.0,Academy_Awards
2002-03-25,5,2,-60.2,-301.0,Academy_Awards
2002-04-09,1,1,-3.0,-3.0,Academy_Awards
2002-05-30,1,1,-115.0,-115.0,Academy_Awards
2002-07-02,2,2,56.0,112.0,Academy_Awards
2002-07-12,1,1,-4.0,-4.0,Academy_Awards
2002-07-13,23,2,18.043478260869566,415.0,Academy_Awards
2002-07-14,6,2,2.1666666666666665,13.0,Academy_Awards
2002-07-16,4,2,-3.25,-13.0,Academy_Awards
2002-08-09,2,2,16.0,32.0,Academy_Awards
2002-08-13,1,1,-18.0,-18.0,Academy_Awards
2002-08-27,1,1,-58.0,-58.0,Academy_Awards
2002-09-09,2,1,5.0,10.0,Academy_Awards
2002-10-02,1,1,-17.0,-17.0,Academy_Awards
2002-10-25,1,1,-44.0,-44.0,Academy_Awards
2002-11-05,1,1,3.0,3.0,Academy_Awards
2002-11-17,2,2,-3021.5,-6043.0,Academy_Awards
2003-01-04,1,1,5970.0,5970.0,Academy_Awards
2003-02-11,2,1,-91.0,-182.0,Academy_Awards
2003-02-13,1,1,-129.0,-129.0,Academy_Awards
2003-02-19,1,1,-24.0,-24.0,Academy_Awards
2003-03-01,1,1,-6.0,-6.0,Academy_Awards
2003-03-25,2,1,5.5,11.0,Academy_Awards
2003-03-26,2,2,-0.5,-1.0,Academy_Awards
2003-03-27,1,1,1.0,1.0,Academy_Awards
2003-03-28,1,1,-1.0,-1.0,Academy_Awards
2003-04-28,1,1,-1302.0,-1302.0,Academy_Awards
2003-05-19,2,1,-42.0,-84.0,Academy_Awards
2003-06-13,3,2,-4.0,-12.0,Academy_Awards
2003-07-28,3,1,-38.333333333333336,-115.0,Academy_Awards
2003-08-06,1,1,-55.0,-55.0,Academy_Awards
2003-08-07,1,1,-97.0,-97.0,Academy_Awards
2003-11-09,1,1,-20.0,-20.0,Academy_Awards
2003-11-15,1,1,-32.0,-32.0,Academy_Awards
2003-11-23,2,2,-401.5,-803.0,Academy_Awards
2003-11-25,2,1,-38.0,-76.0,Academy_Awards
2003-11-28,1,1,-20.0,-20.0,Academy_Awards
2003-11-30,1,1,-14.0,-14.0,Academy_Awards
2003-12-09,1,1,-86.0,-86.0,Academy_Awards
2003-12-10,3,2,-21.0,-63.0,Academy_Awards
2003-12-16,1,1,-20.0,-20.0,Academy_Awards
2003-12-17,1,1,-24.0,-24.0,Academy_Awards
2003-12-18,1,1,24.0,24.0,Academy_Awards
2003-12-21,1,1,6.0,6.0,Academy_Awards
2003-12-23,1,1,-60.0,-60.0,Academy_Awards
2003-12-27,1,1,25.0,25.0,Academy_Awards
2004-01-06,1,1,-123.0,-123.0,Academy_Awards
2004-01-26,1,1,4.0,4.0,Academy_Awards
2004-01-28,1,1,-53.0,-53.0,Academy_Awards
2004-01-29,2,1,-1.0,-2.0,Academy_Awards
2004-02-08,1,1,-9.0,-9.0,Academy_Awards
2004-02-20,1,1,-44.0,-44.0,Academy_Awards
2004-02-26,2,1,-137.5,-275.0,Academy_Awards
2004-02-28,1,1,-4.0,-4.0,Academy_Awards
2004-02-29,1,1,-25.0,-25.0,Academy_Awards
2004-03-01,1,1,4.0,4.0,Academy_Awards
2004-03-02,1,1,-234.0,-234.0,Academy_Awards
2004-03-03,2,2,104.5,209.0,Academy_Awards
2004-03-06,4,2,-33.5,-134.0,Academy_Awards
2004-03-08,2,2,114.0,228.0,Academy_Awards
2004-03-20,1,1,-208.0,-208.0,Academy_Awards
2004-03-23,1,1,-43.0,-43.0,Academy_Awards
2004-03-24,1,1,18.0,18.0,Academy_Awards
2004-03-26,1,1,0.0,0.0,Academy_Awards
2004-03-27,1,1,-2.0,-2.0,Academy_Awards
2004-04-06,3,1,-256.6666666666667,-770.0,Academy_Awards
2004-04-19,1,1,13.0,13.0,Academy_Awards
2004-04-24,2,1,-2.5,-5.0,Academy_Awards
2004-05-03,2,1,-110.5,-221.0,Academy_Awards
2004-05-16,1,1,68.0,68.0,Academy_Awards
2004-06-02,2,2,8.0,16.0,Academy_Awards
2004-06-10,1,1,-20.0,-20.0,Academy_Awards
2004-07-03,2,1,-16.0,-32.0,Academy_Awards
2004-07-11,1,1,-19.0,-19.0,Academy_Awards
2004-07-15,1,1,-131.0,-131.0,Academy_Awards
2004-08-16,1,1,-42.0,-42.0,Academy_Awards
2004-08-22,1,1,8.0,8.0,Academy_Awards
2004-08-26,1,1,2.0,2.0,Academy_Awards
2004-08-28,1,1,19.0,19.0,Academy_Awards
2004-09-10,1,1,-22.0,-22.0,Academy_Awards
2004-09-11,1,1,-7.0,-7.0,Academy_Awards
2004-09-24,2,2,-23.0,-46.0,Academy_Awards
2004-09-29,1,1,-537.0,-537.0,Academy_Awards
2004-10-07,3,2,202.33333333333334,607.0,Academy_Awards
2004-10-13,1,1,-72.0,-72.0,Academy_Awards
2004-11-05,1,1,43.0,43.0,Academy_Awards
2004-11-11,1,1,0.0,0.0,Academy_Awards
2004-11-17,1,1,-20.0,-20.0,Academy_Awards
2004-11-30,1,1,-16.0,-16.0,Academy_Awards
2004-12-01,2,2,-114.0,-228.0,Academy_Awards
2004-12-04,1,1,-43.0,-43.0,Academy_Awards
2004-12-28,2,2,51.0,102.0,Academy_Awards
2004-12-29,1,1,-20.0,-20.0,Academy_Awards
2004-12-30,1,1,1.0,1.0,Academy_Awards
2005-01-02,2,1,-11.5,-23.0,Academy_Awards
2005-01-03,1,1,4.0,4.0,Academy_Awards
2005-01-13,1,1,-1.0,-1.0,Academy_Awards
2005-01-14,3,3,-6.666666666666667,-20.0,Academy_Awards
2005-01-23,2,2,-48.5,-97.0,Academy_Awards
2005-01-25,4,3,29.25,117.0,Academy_Awards
2005-01-26,2,1,-36.5,-73.0,Academy_Awards
2005-01-29,3,1,-3416.6666666666665,-10250.0,Academy_Awards
