date,edit_count,unique_editors,avg_size_change,total_size_change,topic
2009-03-08,4,2,-355.25,-1421.0,Bitcoin
2009-08-05,1,1,3.0,3.0,Bitcoin
2009-08-06,2,1,3.0,6.0,Bitcoin
2009-08-14,1,1,-69.0,-69.0,Bitcoin
2009-10-13,2,2,-1.0,-2.0,Bitcoin
2009-11-18,1,1,8.0,8.0,Bitcoin
2009-12-08,1,1,0.0,0.0,Bitcoin
2009-12-17,1,1,-28.0,-28.0,Bitcoin
2010-02-23,1,1,-518.0,-518.0,Bitcoin
2010-03-18,1,1,-87.0,-87.0,Bitcoin
2010-04-13,4,1,-196.5,-786.0,Bitcoin
2010-04-15,8,3,-43.25,-346.0,Bitcoin
2010-04-28,2,2,189.0,378.0,Bitcoin
2010-05-13,1,1,-277.0,-277.0,Bitcoin
2010-06-17,2,1,-450.0,-900.0,Bitcoin
2010-06-18,9,2,-26.444444444444443,-238.0,Bitcoin
2010-06-19,1,1,-304.0,-304.0,Bitcoin
2010-06-20,3,1,-2.6666666666666665,-8.0,Bitcoin
2010-06-21,7,2,-317.2857142857143,-2221.0,Bitcoin
2010-06-23,4,1,-61.0,-244.0,Bitcoin
2010-06-28,4,2,5.5,22.0,Bitcoin
2010-06-29,1,1,-6.0,-6.0,Bitcoin
2010-07-05,1,1,130.0,130.0,Bitcoin
2010-07-07,2,2,-27.5,-55.0,Bitcoin
2010-07-08,2,1,-364.0,-728.0,Bitcoin
2010-07-09,1,1,3.0,3.0,Bitcoin
2010-07-11,13,7,-92.6923076923077,-1205.0,Bitcoin
2010-07-12,9,7,-15.444444444444445,-139.0,Bitcoin
2010-07-13,4,3,-50.0,-200.0,Bitcoin
2010-07-14,4,4,-123.5,-494.0,Bitcoin
2010-07-15,4,2,36.5,146.0,Bitcoin
2010-07-16,6,2,-46.666666666666664,-280.0,Bitcoin
2010-07-18,2,1,-6.5,-13.0,Bitcoin
2010-07-19,4,3,-125.0,-500.0,Bitcoin
2010-07-21,17,6,81.41176470588235,1384.0,Bitcoin
2010-07-22,1,1,-217.0,-217.0,Bitcoin
2010-07-25,4,3,-18.75,-75.0,Bitcoin
2010-07-29,3,1,101.33333333333333,304.0,Bitcoin
2010-08-03,3,2,-29.666666666666668,-89.0,Bitcoin
2010-08-12,9,1,-194.66666666666666,-1752.0,Bitcoin
2010-08-14,1,1,385.0,385.0,Bitcoin
2010-08-18,1,1,-47.0,-47.0,Bitcoin
2010-08-21,1,1,-2.0,-2.0,Bitcoin
2010-09-20,1,1,0.0,0.0,Bitcoin
2010-09-26,2,2,-295.0,-590.0,Bitcoin
2010-09-27,2,1,312.5,625.0,Bitcoin
2010-09-29,1,1,24.0,24.0,Bitcoin
2010-10-02,1,1,-12.0,-12.0,Bitcoin
2010-10-05,1,1,-106.0,-106.0,Bitcoin
2010-10-19,1,1,-44.0,-44.0,Bitcoin
2010-11-10,1,1,-753.0,-753.0,Bitcoin
2010-11-11,1,1,-19.0,-19.0,Bitcoin
2010-11-25,1,1,-2.0,-2.0,Bitcoin
2010-11-26,3,2,20.333333333333332,61.0,Bitcoin
2010-11-28,1,1,-70.0,-70.0,Bitcoin
2010-12-01,1,1,1.0,1.0,Bitcoin
2010-12-05,3,2,-2.3333333333333335,-7.0,Bitcoin
2010-12-10,15,4,51.93333333333333,779.0,Bitcoin
2010-12-11,50,5,-15.42,-771.0,Bitcoin
2010-12-12,17,7,-41.8235294117647,-711.0,Bitcoin
2010-12-13,12,5,62.666666666666664,752.0,Bitcoin
2010-12-14,49,11,-0.4489795918367347,-22.0,Bitcoin
2010-12-15,19,8,-172.68421052631578,-3281.0,Bitcoin
2010-12-16,11,5,-18.09090909090909,-199.0,Bitcoin
2010-12-17,4,3,902.25,3609.0,Bitcoin
2010-12-18,2,2,-1245.5,-2491.0,Bitcoin
2010-12-19,5,4,384.6,1923.0,Bitcoin
2010-12-20,22,9,-93.45454545454545,-2056.0,Bitcoin
2010-12-21,27,4,-44.666666666666664,-1206.0,Bitcoin
2010-12-22,25,4,13.12,328.0,Bitcoin
2010-12-23,2,1,50.0,100.0,Bitcoin
2010-12-24,1,1,-15.0,-15.0,Bitcoin
2011-01-01,1,1,-1.0,-1.0,Bitcoin
2011-01-06,1,1,6.0,6.0,Bitcoin
2011-01-07,3,2,-45.333333333333336,-136.0,Bitcoin
2011-01-10,4,3,779.0,3116.0,Bitcoin
2011-01-11,2,2,102.0,204.0,Bitcoin
2011-01-14,2,1,-45.0,-90.0,Bitcoin
2011-01-16,10,2,-311.8,-3118.0,Bitcoin
2011-01-17,8,5,152.375,1219.0,Bitcoin
