date,edit_count,unique_editors,avg_size_change,total_size_change,topic
2020-01-05,3,2,-2.6666666666666665,-8.0,COVID-19_pandemic
2020-01-06,20,6,-105.85,-2117.0,COVID-19_pandemic
2020-01-07,23,4,-120.34782608695652,-2768.0,COVID-19_pandemic
2020-01-08,14,3,-120.78571428571429,-1691.0,COVID-19_pandemic
2020-01-09,11,4,-360.1818181818182,-3962.0,COVID-19_pandemic
2020-01-10,24,2,-54.625,-1311.0,COVID-19_pandemic
2020-01-11,14,5,-201.64285714285714,-2823.0,COVID-19_pandemic
2020-01-12,14,4,-143.64285714285714,-2011.0,COVID-19_pandemic
2020-01-13,14,5,-127.85714285714286,-1790.0,COVID-19_pandemic
2020-01-14,27,5,-159.59259259259258,-4309.0,COVID-19_pandemic
2020-01-15,57,6,-140.5438596491228,-8011.0,COVID-19_pandemic
2020-01-16,62,8,-60.95161290322581,-3779.0,COVID-19_pandemic
2020-01-17,24,5,-164.70833333333334,-3953.0,COVID-19_pandemic
2020-01-18,92,23,-85.1086956521739,-7830.0,COVID-19_pandemic
2020-01-19,52,12,-27.365384615384617,-1423.0,COVID-19_pandemic
2020-01-20,126,40,-133.5079365079365,-16822.0,COVID-19_pandemic
2020-01-21,227,69,-99.2511013215859,-22530.0,COVID-19_pandemic
2020-01-22,327,101,-89.19877675840979,-29168.0,COVID-19_pandemic
2020-01-23,511,176,33.71232876712329,17227.0,COVID-19_pandemic
2020-01-24,442,159,-58.60180995475113,-25902.0,COVID-19_pandemic
2020-01-25,602,189,-86.06312292358804,-51810.0,COVID-19_pandemic
2020-01-26,904,287,47.801991150442475,43213.0,COVID-19_pandemic
2020-01-27,328,109,-25.588414634146343,-8393.0,COVID-19_pandemic
2020-01-28,315,114,68.4095238095238,21549.0,COVID-19_pandemic
2020-01-29,170,82,-178.7235294117647,-30383.0,COVID-19_pandemic
2020-01-30,268,90,-64.74253731343283,-17351.0,COVID-19_pandemic
2020-01-31,272,101,-134.11029411764707,-36478.0,COVID-19_pandemic
2020-02-01,257,75,-64.63813229571984,-16612.0,COVID-19_pandemic
2020-02-02,230,87,-120.26521739130435,-27661.0,COVID-19_pandemic
2020-02-03,340,130,-39.96470588235294,-13588.0,COVID-19_pandemic
2020-02-04,238,95,-38.1764705882353,-9086.0,COVID-19_pandemic
2020-02-05,276,58,75.2572463768116,20771.0,COVID-19_pandemic
2020-02-06,229,62,-93.17030567685589,-21336.0,COVID-19_pandemic
2020-02-07,180,57,-24.605555555555554,-4429.0,COVID-19_pandemic
2020-02-08,144,51,-5.305555555555555,-764.0,COVID-19_pandemic
2020-02-09,121,52,-11.809917355371901,-1429.0,COVID-19_pandemic
2020-02-10,133,45,-371.4736842105263,-49406.0,COVID-19_pandemic
2020-02-11,101,45,-69.2871287128713,-6998.0,COVID-19_pandemic
2020-02-12,123,38,-38.829268292682926,-4776.0,COVID-19_pandemic
2020-02-13,278,70,-50.47482014388489,-14032.0,COVID-19_pandemic
2020-02-14,121,51,19.892561983471076,2407.0,COVID-19_pandemic
2020-02-15,123,40,113.3170731707317,13938.0,COVID-19_pandemic
2020-02-16,119,39,-91.23529411764706,-10857.0,COVID-19_pandemic
2020-02-17,132,35,-12.659090909090908,-1671.0,COVID-19_pandemic
2020-02-18,126,55,-3.880952380952381,-489.0,COVID-19_pandemic
2020-02-19,174,84,12.959770114942529,2255.0,COVID-19_pandemic
