date,edit_count,unique_editors,avg_size_change,total_size_change,topic
2022-12-05,19,5,-171.0,-3249.0,ChatGPT
2022-12-06,35,11,-217.71428571428572,-7620.0,ChatGPT
2022-12-07,20,9,-5.3,-106.0,ChatGPT
2022-12-08,9,4,-102.44444444444444,-922.0,ChatGPT
2022-12-09,9,7,-0.7777777777777778,-7.0,ChatGPT
2022-12-10,11,9,-19.0,-209.0,ChatGPT
2022-12-11,11,10,11.909090909090908,131.0,ChatGPT
2022-12-12,25,12,-11.44,-286.0,ChatGPT
2022-12-13,52,42,0.5576923076923077,29.0,ChatGPT
2022-12-14,10,8,-0.1,-1.0,ChatGPT
2022-12-15,2,2,-743.0,-1486.0,ChatGPT
2022-12-17,18,16,-9.055555555555555,-163.0,ChatGPT
2022-12-18,15,3,-310.8,-4662.0,ChatGPT
2022-12-19,9,5,-169.33333333333334,-1524.0,ChatGPT
2022-12-20,3,3,257.3333333333333,772.0,ChatGPT
2022-12-21,2,2,-285.0,-570.0,ChatGPT
2022-12-22,2,2,6.0,12.0,ChatGPT
2022-12-23,2,2,221.0,442.0,ChatGPT
2022-12-24,8,3,-6.75,-54.0,ChatGPT
2022-12-25,5,5,-1.2,-6.0,ChatGPT
2022-12-26,15,12,-28.266666666666666,-424.0,ChatGPT
2022-12-27,16,11,-125.5625,-2009.0,ChatGPT
2022-12-28,27,13,28.185185185185187,761.0,ChatGPT
2022-12-29,18,7,-10.333333333333334,-186.0,ChatGPT
2022-12-30,28,8,-311.7857142857143,-8730.0,ChatGPT
2022-12-31,21,9,-44.666666666666664,-938.0,ChatGPT
2023-01-01,3,3,17.666666666666668,53.0,ChatGPT
2023-01-02,2,2,-233.0,-466.0,ChatGPT
2023-01-03,3,1,-147.33333333333334,-442.0,ChatGPT
2023-01-04,2,1,-192.5,-385.0,ChatGPT
2023-01-05,4,1,-22.0,-88.0,ChatGPT
2023-01-06,26,6,-84.1923076923077,-2189.0,ChatGPT
2023-01-07,4,3,-111.75,-447.0,ChatGPT
2023-01-08,3,2,0.0,0.0,ChatGPT
2023-01-09,3,3,118.66666666666667,356.0,ChatGPT
2023-01-10,7,6,-46.714285714285715,-327.0,ChatGPT
2023-01-11,3,3,-92.66666666666667,-278.0,ChatGPT
2023-01-12,4,4,-28.75,-115.0,ChatGPT
2023-01-15,5,3,-251.2,-1256.0,ChatGPT
2023-01-16,5,3,91.0,455.0,ChatGPT
2023-01-17,5,5,-323.6,-1618.0,ChatGPT
2023-01-18,2,2,11.0,22.0,ChatGPT
2023-01-19,10,4,-83.0,-830.0,ChatGPT
2023-01-20,6,3,-169.83333333333334,-1019.0,ChatGPT
2023-01-21,7,4,-7.714285714285714,-54.0,ChatGPT
2023-01-22,8,5,-88.75,-710.0,ChatGPT
2023-01-23,2,2,20.5,41.0,ChatGPT
2023-01-24,4,4,-359.5,-1438.0,ChatGPT
