date,edit_count,unique_editors,avg_size_change,total_size_change,topic
2006-06-04,2,1,-57.5,-115.0,Taylor_Swift
2006-06-09,3,2,-138.0,-414.0,Taylor_Swift
2006-06-14,2,1,9.0,18.0,Taylor_Swift
2006-07-01,1,1,-56.0,-56.0,Taylor_Swift
2006-07-29,4,1,-4.0,-16.0,Taylor_Swift
2006-08-02,1,1,-377.0,-377.0,Taylor_Swift
2006-08-03,1,1,0.0,0.0,Taylor_Swift
2006-08-10,1,1,0.0,0.0,Taylor_Swift
2006-08-29,1,1,-35.0,-35.0,Taylor_Swift
2006-09-10,2,1,-0.5,-1.0,Taylor_Swift
2006-09-16,2,1,-191.5,-383.0,Taylor_Swift
2006-09-20,1,1,0.0,0.0,Taylor_Swift
2006-09-21,2,2,9.5,19.0,Taylor_Swift
2006-09-28,6,3,-34.833333333333336,-209.0,Taylor_Swift
2006-10-03,2,2,-1.5,-3.0,Taylor_Swift
2006-10-05,1,1,0.0,0.0,Taylor_Swift
2006-10-12,1,1,0.0,0.0,Taylor_Swift
2006-10-20,1,1,-14.0,-14.0,Taylor_Swift
2006-10-22,3,2,-20.666666666666668,-62.0,Taylor_Swift
2006-10-23,2,1,-30.0,-60.0,Taylor_Swift
2006-10-24,3,2,5.0,15.0,Taylor_Swift
2006-10-25,4,2,0.0,0.0,Taylor_Swift
2006-10-26,3,3,-158.66666666666666,-476.0,Taylor_Swift
2006-10-27,1,1,-89.0,-89.0,Taylor_Swift
2006-10-28,3,2,-52.333333333333336,-157.0,Taylor_Swift
2006-10-31,2,2,107.5,215.0,Taylor_Swift
2006-11-01,6,2,-36.666666666666664,-220.0,Taylor_Swift
2006-11-02,2,2,-11.0,-22.0,Taylor_Swift
2006-11-03,1,1,0.0,0.0,Taylor_Swift
2006-11-04,1,1,0.0,0.0,Taylor_Swift
2006-11-10,2,1,-132.5,-265.0,Taylor_Swift
2006-11-15,5,3,42.4,212.0,Taylor_Swift
2006-11-16,2,2,-11.5,-23.0,Taylor_Swift
2006-11-17,5,5,-2.6,-13.0,Taylor_Swift
2006-11-23,6,2,-29.333333333333332,-176.0,Taylor_Swift
2006-11-24,4,4,-664.75,-2659.0,Taylor_Swift
2006-11-25,8,4,-23.625,-189.0,Taylor_Swift
2006-11-26,19,1,-20.157894736842106,-383.0,Taylor_Swift
2006-11-27,3,2,-3.6666666666666665,-11.0,Taylor_Swift
2006-11-28,1,1,50.0,50.0,Taylor_Swift
2006-11-29,2,2,118.0,236.0,Taylor_Swift
2006-11-30,3,1,-104.0,-312.0,Taylor_Swift
2006-12-01,3,1,17.333333333333332,52.0,Taylor_Swift
2006-12-07,1,1,0.0,0.0,Taylor_Swift
2006-12-08,2,2,-4.0,-8.0,Taylor_Swift
2006-12-09,1,1,0.0,0.0,Taylor_Swift
2006-12-16,1,1,-226.0,-226.0,Taylor_Swift
2006-12-20,1,1,1.0,1.0,Taylor_Swift
2006-12-24,1,1,-22.0,-22.0,Taylor_Swift
2006-12-26,3,2,8.0,24.0,Taylor_Swift
2006-12-27,2,2,-1.0,-2.0,Taylor_Swift
2007-01-04,1,1,-16.0,-16.0,Taylor_Swift
2007-01-07,1,1,-153.0,-153.0,Taylor_Swift
2007-01-16,12,1,-56.75,-681.0,Taylor_Swift
2007-01-17,1,1,5.0,5.0,Taylor_Swift
2007-01-18,3,3,0.3333333333333333,1.0,Taylor_Swift
2007-01-19,3,1,5.0,15.0,Taylor_Swift
2007-01-20,2,2,32.5,65.0,Taylor_Swift
2007-01-21,3,3,147.66666666666666,443.0,Taylor_Swift
2007-01-22,7,6,-11.714285714285714,-82.0,Taylor_Swift
2007-01-23,1,1,11.0,11.0,Taylor_Swift
2007-01-25,2,1,-71.0,-142.0,Taylor_Swift
2007-01-27,1,1,0.0,0.0,Taylor_Swift
2007-01-28,1,1,0.0,0.0,Taylor_Swift
2007-01-29,2,2,-23.5,-47.0,Taylor_Swift
2007-01-30,1,1,44.0,44.0,Taylor_Swift
2007-01-31,3,3,318.3333333333333,955.0,Taylor_Swift
2007-02-01,1,1,-1164.0,-1164.0,Taylor_Swift
2007-02-02,2,2,474.5,949.0,Taylor_Swift
2007-02-03,1,1,1168.0,1168.0,Taylor_Swift
2007-02-04,2,2,-653.0,-1306.0,Taylor_Swift
2007-02-09,1,1,-105.0,-105.0,Taylor_Swift
2007-02-14,6,3,98.83333333333333,593.0,Taylor_Swift
2007-02-16,7,3,16.428571428571427,115.0,Taylor_Swift
2007-02-20,1,1,-21.0,-21.0,Taylor_Swift
2007-02-22,4,4,-95.25,-381.0,Taylor_Swift
2007-02-23,2,1,-77.5,-155.0,Taylor_Swift
2007-02-24,9,4,-13.666666666666666,-123.0,Taylor_Swift
2007-02-26,1,1,-18.0,-18.0,Taylor_Swift
2007-02-28,1,1,1.0,1.0,Taylor_Swift
2007-03-01,2,1,-15.5,-31.0,Taylor_Swift
2007-03-02,3,3,-3.3333333333333335,-10.0,Taylor_Swift
2007-03-04,2,1,-65.5,-131.0,Taylor_Swift
2007-03-06,4,3,23.25,93.0,Taylor_Swift
2007-03-07,7,3,-14.285714285714286,-100.0,Taylor_Swift
