date,edit_count,unique_editors,avg_size_change,total_size_change,topic
2006-06-12,2,1,-155.5,-311.0,"Tesla,_Inc."
2006-06-16,1,1,-129.0,-129.0,"Tesla,_Inc."
2006-06-20,2,1,-54.0,-108.0,"Tesla,_Inc."
2006-06-29,1,1,6.0,6.0,"Tesla,_Inc."
2006-07-03,3,1,-1.6666666666666667,-5.0,"Tesla,_Inc."
2006-07-15,1,1,-21.0,-21.0,"Tesla,_Inc."
2006-07-16,1,1,0.0,0.0,"Tesla,_Inc."
2006-07-20,6,5,-38.166666666666664,-229.0,"Tesla,_Inc."
2006-07-21,10,3,-62.7,-627.0,"Tesla,_Inc."
2006-07-22,3,2,43.0,129.0,"Tesla,_Inc."
2006-07-23,1,1,-6.0,-6.0,"Tesla,_Inc."
2006-07-24,2,2,-100.0,-200.0,"Tesla,_Inc."
2006-07-25,3,1,-7.666666666666667,-23.0,"Tesla,_Inc."
2006-07-26,5,2,-10.0,-50.0,"Tesla,_Inc."
2006-07-27,1,1,-75.0,-75.0,"Tesla,_Inc."
2006-07-28,1,1,23.0,23.0,"Tesla,_Inc."
2006-07-29,1,1,-246.0,-246.0,"Tesla,_Inc."
2006-07-30,2,2,-1.0,-2.0,"Tesla,_Inc."
2006-08-04,3,1,4.0,12.0,"Tesla,_Inc."
2006-08-07,1,1,18.0,18.0,"Tesla,_Inc."
2006-08-08,2,1,-10.5,-21.0,"Tesla,_Inc."
2006-08-09,1,1,-32.0,-32.0,"Tesla,_Inc."
2006-08-12,1,1,-20.0,-20.0,"Tesla,_Inc."
2006-08-21,2,2,-52.5,-105.0,"Tesla,_Inc."
2006-08-22,1,1,-114.0,-114.0,"Tesla,_Inc."
2006-08-28,1,1,-20.0,-20.0,"Tesla,_Inc."
2006-08-29,1,1,-12.0,-12.0,"Tesla,_Inc."
2006-09-02,1,1,-95.0,-95.0,"Tesla,_Inc."
2006-09-03,6,3,-70.5,-423.0,"Tesla,_Inc."
2006-09-08,1,1,-103.0,-103.0,"Tesla,_Inc."
2006-09-18,1,1,-241.0,-241.0,"Tesla,_Inc."
2006-09-30,1,1,-8.0,-8.0,"Tesla,_Inc."
2006-10-06,1,1,-36.0,-36.0,"Tesla,_Inc."
2006-10-08,7,3,-61.42857142857143,-430.0,"Tesla,_Inc."
2006-10-16,1,1,-123.0,-123.0,"Tesla,_Inc."
2006-10-18,2,2,2.5,5.0,"Tesla,_Inc."
2006-10-24,1,1,1.0,1.0,"Tesla,_Inc."
2006-11-09,1,1,-103.0,-103.0,"Tesla,_Inc."
2006-11-13,1,1,-20.0,-20.0,"Tesla,_Inc."
2006-11-17,2,1,-9.0,-18.0,"Tesla,_Inc."
2006-11-19,1,1,0.0,0.0,"Tesla,_Inc."
2006-11-20,3,1,-52.666666666666664,-158.0,"Tesla,_Inc."
2006-11-22,1,1,-20.0,-20.0,"Tesla,_Inc."
2006-11-27,1,1,-209.0,-209.0,"Tesla,_Inc."
2006-11-28,1,1,0.0,0.0,"Tesla,_Inc."
2006-11-29,1,1,0.0,0.0,"Tesla,_Inc."
