topic,event,event_date,lag_days,correlation,p_value,significant,interpretation,severity
COVID-19_pandemic,WHO declares pandemic,2020-03-11,-5,0.36485546603266233,0.04357848942004749,True,Edits spike 5 days BEFORE event (anticipation),high
COVID-19_pandemic,WHO declares pandemic,2020-03-11,-4,0.2890091531314808,0.1086511273121156,False,Not significant,high
COVID-19_pandemic,WHO declares pandemic,2020-03-11,-3,0.45521994067136756,0.007769776689192037,True,Edits spike 3 days BEFORE event (anticipation),high
COVID-19_pandemic,WHO declares pandemic,2020-03-11,-2,0.24822163447490453,0.15692323498371785,False,Not significant,high
COVID-19_pandemic,WHO declares pandemic,2020-03-11,-1,0.12127961632527734,0.48767550821174377,False,Not significant,high
COVID-19_pandemic,WHO declares pandemic,2020-03-11,0,0.17679398896195683,0.3023152655369425,False,Not significant,high
COVID-19_pandemic,WHO declares pandemic,2020-03-11,1,0.12127961632527734,0.48767550821174377,False,Not significant,high
COVID-19_pandemic,WHO declares pandemic,2020-03-11,2,0.24822163447490453,0.15692323498371785,False,Not significant,high
COVID-19_pandemic,WHO declares pandemic,2020-03-11,3,0.45521994067136756,0.007769776689192037,True,Edits spike 3 days AFTER event (reaction),high
COVID-19_pandemic,WHO declares pandemic,2020-03-11,4,0.2890091531314808,0.1086511273121156,False,Not significant,high
COVID-19_pandemic,WHO declares pandemic,2020-03-11,5,0.36485546603266233,0.04357848942004749,True,Edits spike 5 days AFTER event (reaction),high
COVID-19_pandemic,WHO declares emergency,2020-01-30,-5,0.009187779484477016,0.9644696700822772,False,Not significant,medium
COVID-19_pandemic,WHO declares emergency,2020-01-30,-4,0.1116501391217246,0.5792794240174263,False,Not significant,medium
COVID-19_pandemic,WHO declares emergency,2020-01-30,-3,0.01564528525898912,0.9370188975575344,False,Not significant,medium
COVID-19_pandemic,WHO declares emergency,2020-01-30,-2,0.04572187381729554,0.8138111898438005,False,Not significant,medium
COVID-19_pandemic,WHO declares emergency,2020-01-30,-1,0.06400217732315801,0.7368682183192954,False,Not significant,medium
COVID-19_pandemic,WHO declares emergency,2020-01-30,0,0.06513483162849734,0.7277482976619376,False,Not significant,medium
COVID-19_pandemic,WHO declares emergency,2020-01-30,1,0.06400217732315801,0.7368682183192954,False,Not significant,medium
COVID-19_pandemic,WHO declares emergency,2020-01-30,2,0.04572187381729554,0.8138111898438005,False,Not significant,medium
COVID-19_pandemic,WHO declares emergency,2020-01-30,3,0.01564528525898912,0.9370188975575344,False,Not significant,medium
COVID-19_pandemic,WHO declares emergency,2020-01-30,4,0.1116501391217246,0.5792794240174263,False,Not significant,medium
COVID-19_pandemic,WHO declares emergency,2020-01-30,5,0.009187779484477016,0.9644696700822772,False,Not significant,medium
COVID-19_pandemic,First vaccine authorized,2020-12-11,-5,-0.3075830394573968,0.09232483486399042,False,Not significant,medium
COVID-19_pandemic,First vaccine authorized,2020-12-11,-4,-0.06278662090775217,0.7328168535133798,False,Not significant,medium
